Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Wilderness_Area,Soil_Type,Cover_Type
2091,145,2,129.1,66.8,673.8,-156.1,199,101,227,3,6,2
1786,228,36,-114.5,-15.7,223.9,317.3,96,214,61,3,2,3
2422,349,28,5.2,-6.5,3716.1,247.8,37,39,92,3,1,2
2077,49,14,-336.4,-2.1,-1553.1,-392.0,160,44,71,3,5,2
3076,78,38,-4.3,-32.1,423.8,-1028.8,22,19,225,2,0,4
2108,241,3,202.7,2.7,-575.4,1252.4,218,166,125,2,5,2
2862,280,22,24.8,-34.0,627.3,633.2,100,142,31,3,5,2
2403,283,22,287.0,-36.0,263.3,150.5,197,172,227,3,0,2
2665,116,29,-314.3,60.9,1981.2,-1425.0,90,27,185,2,0,4
2091,263,3,54.5,0.2,1198.6,313.6,25,141,194,1,5,5
2438,4,17,384.1,-27.4,400.9,140.6,0,151,155,1,4,2
2395,270,10,107.1,-23.1,-497.0,248.3,224,249,199,1,5,2
2142,186,7,119.7,-40.3,90.5,69.9,87,235,65,2,0,4
2680,146,1,-145.5,28.1,2019.1,558.8,147,178,192,2,0,4
1860,288,21,43.0,81.8,136.9,1585.9,245,34,251,2,6,6
2389,178,37,9.8,-26.0,316.3,215.5,10,123,192,2,3,2
2377,177,32,172.3,-30.1,-1759.5,-177.7,148,142,208,3,4,2
2493,240,27,-146.5,-3.7,1394.2,-958.8,65,119,21,3,4,2
1997,337,22,-59.9,-24.6,-382.3,-856.1,59,188,141,1,0,3
2724,282,43,-51.2,-10.6,1700.1,-127.0,3,18,0,1,6,2
2098,269,43,164.1,62.7,730.0,-245.9,143,45,74,0,1,2
2218,32,43,365.4,-128.6,-46.5,200.6,219,94,175,0,3,2
2074,36,24,-6.4,-5.5,2579.6,1846.4,14,66,184,3,4,2
2304,318,37,79.2,-45.7,13.2,-177.4,135,134,247,3,0,2
2610,32,20,331.6,-17.3,849.9,952.0,131,100,142,2,2,2
3621,276,42,-99.0,13.4,1042.0,-737.7,91,162,219,1,6,1
1400,250,34,361.5,46.5,230.7,-966.9,48,236,188,0,4,3
2826,139,37,269.7,42.7,-1297.2,-447.9,105,221,164,3,2,2
2816,307,28,-222.5,-43.0,2556.3,972.8,245,34,62,3,0,6
3052,183,16,243.3,-64.9,-49.7,399.6,209,249,79,1,0,1
2568,30,42,157.1,-82.9,630.2,-219.6,64,163,89,0,6,2
2653,225,25,-130.2,-50.1,3289.3,1067.1,194,83,200,1,3,2
3185,348,8,-15.8,-47.3,2074.6,-2249.0,230,212,30,2,0,4
2513,168,15,88.6,-16.3,1613.0,799.4,57,217,199,2,0,4
2546,46,29,-94.3,137.5,2037.4,-964.6,248,191,9,3,4,6
2473,342,26,95.7,52.1,907.1,618.5,185,193,243,2,0,4
2654,24,18,-245.5,1.4,793.0,730.0,120,219,180,1,6,2
3187,118,9,145.6,-52.4,-3438.0,1792.9,80,67,25,3,0,1
2122,317,41,-5.6,-14.7,-1005.5,-1128.8,127,8,178,1,2,2
2948,131,29,189.1,110.4,-437.1,233.7,249,186,212,2,5,2
1552,317,24,142.3,-29.1,-2215.0,-1527.3,120,13,150,0,6,3
2666,321,10,5.0,87.9,611.8,364.5,218,186,92,1,4,2
2310,231,29,-63.6,4.1,199.4,250.0,90,106,13,1,2,2
2990,251,18,189.3,-7.5,964.4,-538.0,234,172,241,0,6,2
2802,207,42,-61.9,51.3,1950.6,-1043.7,26,132,77,1,4,2
2793,263,11,-71.9,-64.0,63.5,-708.8,184,85,8,3,1,2
2707,274,24,24.2,-38.0,418.8,-1713.8,204,211,221,0,6,2
2611,98,23,254.1,14.1,1248.2,-1021.9,36,192,254,2,5,6
1664,219,25,-40.9,19.7,208.9,422.1,104,161,188,1,5,3
2594,91,12,-65.8,-18.3,55.2,-901.6,178,58,75,3,2,2
1931,331,5,42.1,-29.8,-915.0,-2214.6,88,22,215,3,2,5
2895,183,13,253.6,-97.2,1472.6,-411.1,22,23,99,2,1,4
2205,187,23,213.3,151.2,-2006.4,1857.1,234,200,82,3,4,2
2474,198,29,65.4,26.8,1769.3,1231.5,138,213,198,3,4,2
2271,199,9,16.5,3.2,-1254.9,1318.9,165,36,136,2,3,5
2499,140,5,30.2,21.7,3578.7,-1744.4,138,203,146,0,4,5
2543,152,15,255.6,20.6,1197.6,-1740.7,23,25,108,1,5,2
2671,268,39,128.0,-0.1,3357.1,-1177.8,93,221,137,0,5,2
1967,158,30,-68.8,-52.9,-1737.3,972.8,13,70,56,2,0,4
3085,42,0,-117.5,24.9,1238.4,-1257.4,212,125,179,0,6,1
2031,309,8,-53.9,-3.4,-1863.4,660.4,231,154,53,3,6,5
2390,228,24,292.6,-11.0,868.1,-638.5,157,143,69,3,5,2
1378,88,12,133.9,-10.1,-1116.0,-79.8,102,207,195,2,3,3
2574,251,11,-141.6,10.0,-619.4,986.7,62,164,90,1,2,2
2845,126,44,-313.8,-29.7,-587.7,763.4,73,32,37,3,6,2
2938,20,18,80.8,-32.3,1499.6,-1727.4,217,76,17,2,5,6
2663,109,14,96.4,78.8,-1386.7,-1323.2,234,147,20,2,0,4
2648,133,28,65.6,65.5,-1798.1,-844.3,43,89,148,1,2,2
2189,101,41,-18.1,16.0,-2396.7,-1412.8,235,141,95,1,2,2
2292,172,39,-390.6,-18.9,-1494.3,-494.0,168,89,152,1,5,2
2373,29,41,92.5,26.4,-3090.3,-358.6,165,111,105,0,5,2
2513,23,6,395.0,-8.4,-2275.3,828.9,46,217,191,3,0,2
2023,181,1,-136.2,-13.4,1397.9,-1805.7,56,178,157,3,0,2
2307,284,29,37.7,13.9,-2033.5,-1328.1,51,34,221,0,3,6
2665,198,37,184.1,13.9,-620.4,-805.3,89,71,184,0,2,2
2519,125,31,-163.0,-65.3,-518.9,-80.6,144,2,151,2,2,2
2402,338,14,-262.1,60.9,-538.5,-538.8,200,226,116,0,1,2
2128,27,21,-256.5,6.0,-337.9,940.9,169,103,67,0,3,2
2571,160,36,31.4,9.5,329.3,-786.6,80,105,128,2,2,2
2529,188,22,12.5,37.3,923.9,169.7,240,222,13,2,4,6
3049,136,23,-172.4,32.7,153.1,371.2,177,209,199,1,5,1
2461,351,24,457.9,26.4,232.6,1134.7,115,209,34,2,3,2
2847,193,8,-301.5,-107.7,930.0,428.3,139,239,96,0,1,2
1927,8,25,131.6,37.2,928.7,2277.1,47,85,171,2,0,4
3166,263,23,-625.6,-12.8,-574.5,437.0,208,11,58,0,5,6
1906,44,25,-329.6,33.5,-2487.9,438.6,158,138,2,0,1,3
2418,140,4,133.3,10.0,290.8,828.6,163,175,54,3,6,2
2303,203,37,1.5,48.0,-349.6,-1304.5,137,132,180,1,5,2
2210,176,1,184.0,-8.2,-564.6,-37.0,248,119,107,2,3,2
2315,322,10,-24.9,64.3,-180.8,776.3,115,179,126,3,2,2
2225,172,5,2.1,-36.9,427.9,-1181.6,24,200,0,3,2,5
2480,265,2,294.0,55.0,-2527.0,146.1,10,135,60,2,4,2
2546,274,4,-71.0,91.5,-430.4,373.2,239,246,8,1,2,2
2894,270,44,-141.3,55.7,-2255.3,-341.7,149,135,9,1,6,2
2932,124,17,334.7,65.7,373.2,-1900.8,80,76,193,3,2,2
3142,68,26,-61.0,-42.6,-2253.7,603.8,12,80,11,1,5,1
2630,252,12,-382.2,-5.3,800.6,1193.8,170,113,103,3,0,2
2119,231,22,307.3,38.8,305.6,-8.1,157,44,201,1,4,2
3370,16,38,221.9,-42.9,832.5,1785.9,119,49,28,2,0,4
2665,276,9,-299.7,-19.3,-1585.0,200.7,123,9,226,2,0,4
1429,6,41,-100.4,1.1,148.3,569.6,222,114,47,0,1,3
2749,195,1,-204.4,-16.7,-1252.1,1370.9,85,114,200,1,5,2
2387,246,25,131.8,-58.6,-717.3,-664.6,212,108,108,1,6,2
2160,247,3,-7.1,-13.1,-395.6,749.4,73,45,11,1,3,5
2202,343,27,128.6,-81.2,-634.6,-2039.4,115,208,116,0,3,2
2466,184,14,265.1,-130.6,1074.3,-732.9,252,222,26,2,1,4
2118,184,19,104.7,1.8,1884.3,144.8,136,231,65,1,5,2
2538,257,29,-112.4,-38.5,-877.1,-1126.5,103,247,23,0,0,6
2376,22,24,39.3,42.8,-575.9,-1584.6,13,17,151,3,3,2
2372,55,42,-277.8,28.5,706.4,-1649.7,232,53,150,2,4,2
2625,122,0,-187.3,-61.8,-866.6,-1543.7,84,196,252,3,2,2
2578,23,0,-83.8,0.3,-2187.1,731.3,113,230,206,1,3,2
3088,242,8,25.3,1.9,1406.2,4.8,26,8,23,0,5,5
2638,318,11,18.0,5.6,2515.0,-2247.4,144,187,126,0,5,2
2068,73,30,-184.5,35.8,1107.9,-212.6,209,167,55,2,0,4
2460,341,38,-55.2,30.3,-2234.9,-1056.5,77,147,157,1,2,2
3132,45,31,-278.1,34.0,-785.4,-282.2,75,201,106,1,4,1
3136,15,26,-81.1,145.2,-52.1,2577.4,112,84,201,1,1,1
2136,123,29,285.5,1.1,145.5,-391.6,10,103,103,2,0,4
2725,45,12,1.7,31.4,-1983.8,-958.0,158,191,181,2,3,2
2270,315,39,3.5,62.5,-3655.3,670.9,143,219,110,0,0,2
2349,282,27,-425.3,-90.3,-1635.8,381.2,138,110,180,0,0,2
1842,352,13,1.4,-50.1,1321.7,452.5,201,101,73,3,4,3
1804,279,31,-284.2,33.5,905.7,-767.7,167,71,65,1,5,3
2337,244,17,505.9,45.2,37.1,-1597.4,139,201,31,3,0,2
2554,124,11,-77.6,-38.9,-1093.0,-300.1,160,165,131,1,6,2
2653,216,17,13.8,-10.4,-38.0,-552.2,37,153,190,1,1,2
2109,266,42,221.3,25.8,-2685.1,26.5,223,91,137,2,3,2
2359,322,5,-6.8,-111.7,-2866.1,-1510.1,34,150,156,2,5,5
2501,25,21,-83.2,-22.1,-304.6,1095.9,215,36,171,1,5,2
2389,102,0,70.5,-2.6,166.8,1403.4,104,167,22,1,1,5
1337,31,5,27.0,12.1,1638.1,2030.3,81,202,40,3,1,5
2030,70,42,210.2,-22.4,-796.6,-303.7,65,14,170,2,5,2
2491,244,28,217.5,-26.0,700.9,79.4,28,78,162,2,1,4
2680,195,30,-358.5,-64.9,-947.2,-1284.6,87,55,212,2,6,2
2080,315,44,171.8,25.5,-729.5,-1009.9,137,198,127,1,5,2
2858,154,21,106.6,-76.2,2383.4,-249.1,100,151,63,0,2,2
1263,194,17,-3.4,-40.9,-588.6,-647.4,219,203,81,2,2,3
2951,314,11,217.9,3.9,889.7,-2943.9,93,128,159,1,3,2
2159,37,33,-51.8,-46.8,1032.2,659.0,81,248,136,3,2,2
2444,249,43,96.9,1.1,347.1,1505.6,1,65,48,3,6,2
2066,101,17,204.0,-6.0,-690.0,578.6,79,120,94,1,4,2
1964,133,23,-95.8,-4.1,-2503.3,-553.2,205,227,174,1,1,3
2312,134,29,335.9,97.3,995.0,267.0,183,155,149,3,0,2
2460,176,30,-123.7,-70.8,-3531.7,-403.6,69,0,208,0,3,6
1985,344,38,106.3,8.1,-1335.3,-776.8,242,140,228,3,4,3
2758,328,31,113.7,-19.5,1166.5,-1317.7,138,14,83,3,6,2
2266,319,38,-127.1,12.2,647.8,-850.8,245,102,109,3,5,2
2473,51,27,-306.8,21.2,1810.8,-1010.2,236,195,206,3,5,2
2149,290,37,314.8,-1.7,-1660.8,235.7,76,223,21,0,4,6
2172,228,34,-39.6,-33.7,209.3,-858.9,46,251,40,0,5,6
2421,102,10,-505.6,-10.3,2706.3,820.9,211,61,52,1,6,2
1887,283,2,-161.5,-109.3,4314.4,-591.8,66,93,95,3,6,3
2706,132,14,168.6,-40.0,955.8,-561.3,72,234,31,0,1,6
1919,150,28,-194.7,124.8,-1361.1,-601.7,77,171,18,0,0,3
2595,175,16,306.0,-68.1,-833.0,-220.6,30,72,131,2,4,2
1975,96,18,-218.2,16.7,-529.2,1169.7,251,210,36,1,3,6
2342,117,13,-134.8,13.6,-1694.0,-1956.5,91,66,124,3,4,2
2147,63,27,-117.3,87.4,134.4,1019.0,116,74,4,2,3,2
2918,346,44,134.2,23.5,206.0,1718.2,86,184,120,2,1,4
3116,265,40,49.2,-56.5,-965.2,-189.2,19,227,65,0,2,6
2259,139,9,-189.4,-19.9,-2423.0,1090.9,151,150,98,1,4,2
2613,297,23,-9.7,-62.7,-985.2,-71.1,104,193,37,1,3,2
2528,249,44,-38.9,-0.5,-917.7,-848.9,104,211,206,1,1,2
2731,336,3,-218.2,82.8,-1438.4,-2268.8,43,183,166,3,5,2
2856,265,35,-46.7,45.3,799.4,1577.2,225,37,159,2,3,2
3167,214,18,235.6,35.2,1202.1,176.5,23,82,73,3,6,1
2473,357,41,127.4,-35.3,-1297.1,-1211.4,169,198,138,2,2,2
1716,334,25,47.8,-85.9,761.0,1363.2,222,253,29,2,4,6
2718,265,3,-225.0,-57.6,134.3,133.1,242,72,221,0,1,2
2287,39,38,11.9,-66.0,-2558.0,603.5,199,9,171,1,3,6
2381,129,44,103.6,-61.4,1733.9,431.4,127,116,133,3,4,2
2939,84,24,87.0,-57.0,2126.2,37.1,197,176,123,1,6,2
3066,80,34,29.1,23.0,335.7,3043.7,138,56,0,1,2,1
2486,164,42,-298.8,-73.4,936.6,-382.2,174,65,223,2,6,2
2952,246,15,318.9,-7.7,1563.6,1235.0,29,34,50,3,1,2
2629,109,8,-331.0,-97.5,-422.9,-1141.6,170,44,132,3,3,2
2777,214,32,-28.8,8.3,260.5,-570.8,74,100,29,3,0,2
2403,251,14,-142.9,-117.4,3311.2,-770.0,243,46,240,0,2,6
2995,207,25,37.6,-9.2,1759.6,-1156.8,85,98,143,3,1,2
2214,295,33,217.5,12.1,551.8,178.2,165,10,176,1,2,2
2480,305,26,-29.6,-72.8,-766.7,-338.8,13,230,43,2,6,6
2828,336,35,76.4,-73.7,784.2,1154.0,79,6,43,2,0,4
2067,139,25,-144.7,137.2,-359.6,355.0,127,26,79,2,6,2
2606,312,34,141.1,36.0,-148.2,667.9,120,225,170,2,3,2
2638,226,28,-174.8,-25.8,1172.2,928.9,186,51,105,2,1,4
2785,134,3,179.3,8.2,287.5,-383.9,42,34,70,2,3,2
3150,15,12,-316.7,-30.5,3316.4,-499.5,201,19,120,3,1,1
1610,126,26,47.5,41.7,-1332.1,286.3,48,119,254,3,1,6
2843,24,8,176.7,-33.2,344.8,1234.1,128,169,108,2,5,2
2600,314,19,-93.9,-23.1,-792.6,-876.4,171,21,187,2,2,2
2926,27,22,-236.2,-35.8,-161.8,766.0,251,98,195,2,0,4
2735,79,12,-99.5,18.3,-1847.1,273.1,101,129,66,2,6,2
2194,18,41,-206.9,0.7,16.2,-65.4,56,129,103,3,0,2
2235,10,26,-115.1,44.7,3455.4,866.4,253,174,220,2,1,4
2057,254,4,210.6,-31.5,265.1,-814.1,196,203,178,1,3,2
2952,184,28,164.3,73.0,3374.3,820.9,101,112,101,1,6,2
2206,286,16,-181.7,73.4,2941.9,704.8,48,40,91,3,1,2
2583,72,15,-176.5,-1.8,1541.5,1128.5,239,144,187,3,3,2
2360,325,32,126.0,20.7,-1611.7,1034.9,205,41,246,2,3,6
1629,160,33,220.4,-1.0,-236.9,-1363.6,10,125,246,0,4,6
2317,324,6,-232.9,0.9,1950.9,-689.7,74,3,212,1,0,2
2376,135,8,103.8,78.4,-969.1,102.2,229,7,243,2,3,2
3030,291,26,56.0,-15.8,1233.5,-955.4,71,116,244,1,1,1
2358,134,0,-338.2,-13.4,1883.4,288.9,11,151,18,3,6,2
1993,284,6,119.0,28.2,-1342.7,-204.2,23,59,224,0,4,3
2225,62,13,-17.2,42.5,149.1,1954.5,152,127,4,1,0,2
2778,266,26,-189.1,4.7,-1139.3,-1092.1,183,32,4,2,6,2
2688,108,22,-403.2,-41.9,-259.5,329.2,81,43,76,1,0,2
2670,320,20,497.7,19.7,3.1,699.9,42,21,8,3,0,2
2724,86,35,-92.8,44.4,-265.7,-935.8,65,192,127,3,6,2
2128,51,22,59.9,39.5,287.1,-1569.2,80,66,24,1,6,2
2823,314,36,-326.4,-3.1,986.6,1214.1,152,199,82,2,0,4
2594,282,20,-237.6,39.2,-128.1,978.8,156,13,22,0,0,2
1616,142,21,422.4,101.3,-130.0,1207.1,80,179,121,3,2,3
2210,163,14,286.5,-84.3,-1700.1,-1434.7,117,36,104,3,1,2
2981,120,44,-301.2,7.6,-433.6,-18.5,85,126,187,3,3,2
2237,102,13,-148.1,35.1,539.9,266.5,243,188,221,0,2,2
2307,147,3,-162.5,23.9,-838.3,-425.2,52,246,152,3,0,2
2476,214,43,-311.0,54.4,-3136.1,960.1,223,59,163,1,5,2
2523,323,5,67.2,16.1,44.0,720.5,191,216,43,3,6,5
2453,117,7,194.0,59.3,-2405.6,-861.8,26,28,23,3,3,2
2692,93,24,13.6,-63.9,1860.8,-1253.0,194,16,210,1,0,6
2163,243,33,-111.6,47.4,2695.1,1301.0,50,247,207,1,6,6
1877,124,13,33.0,-18.7,1605.3,1629.5,26,192,161,0,1,3
2462,237,38,-171.9,93.1,940.4,-668.0,182,156,26,3,0,2
2444,5,43,414.3,88.3,-1901.5,1456.5,38,142,95,3,2,2
2867,112,25,-141.2,6.3,1367.6,1108.8,138,89,74,0,5,2
3316,300,40,58.3,-28.7,97.7,-70.4,11,46,38,2,2,1
2681,272,7,-312.6,-2.3,-574.9,-342.5,186,59,174,0,4,2
2837,304,32,91.6,-41.1,-583.8,-359.8,105,2,50,2,0,4
3172,29,8,41.0,63.8,1549.6,-610.7,90,22,240,3,3,5
2817,74,25,81.8,-9.3,773.1,1708.6,91,201,188,0,3,2
2767,270,16,52.9,-35.8,-730.9,2039.1,222,16,3,0,6,6
2122,27,16,-15.6,9.9,-2519.2,-1218.3,105,31,67,3,0,2
2334,123,35,-194.3,-34.6,-2144.5,1005.1,156,105,10,1,0,2
2184,18,28,280.9,74.4,2001.7,416.1,37,6,144,1,4,2
2347,122,7,148.1,54.0,2942.0,-688.1,160,7,77,2,0,4
2909,245,17,-56.9,73.9,1367.9,120.5,114,209,103,2,4,2
2765,294,30,-253.0,-7.0,-3201.1,-1414.3,100,182,223,3,4,2
2502,156,28,-321.8,59.1,-239.9,856.9,91,146,227,1,3,2
1622,95,16,-65.8,-22.7,-1663.4,419.1,234,245,79,1,2,3
2725,17,12,-138.6,22.2,-2437.2,-1046.6,191,1,92,2,3,2
2709,267,27,72.6,-93.5,-617.5,-593.6,243,26,121,2,0,4
2022,257,41,-89.6,82.3,295.9,1277.5,97,34,211,3,5,2
2522,236,12,-120.2,-4.3,-1402.4,1427.8,166,135,170,0,0,2
2372,118,11,-454.1,-0.3,-3002.2,575.2,2,247,34,3,5,6
2745,15,7,45.8,30.5,425.9,-889.8,79,211,74,0,4,5
1653,333,6,452.2,-16.0,-1485.7,-536.5,14,229,83,1,2,3
1965,149,23,-146.4,-15.3,-1056.4,-1000.3,223,13,220,1,5,6
3008,313,23,-145.8,-135.4,-615.7,-752.4,50,243,70,0,5,6
2059,192,27,267.7,-6.3,-328.9,1773.3,80,222,33,0,6,6
2154,34,27,161.5,17.6,2645.6,125.2,128,107,66,0,1,2
2296,143,43,-92.3,-26.5,-2180.7,-419.4,246,25,2,0,2,6
2574,14,4,-55.5,66.9,1413.3,-1445.2,96,23,32,3,1,2
3005,53,14,-184.6,-29.9,293.9,-2771.0,220,193,37,2,4,6
2446,253,21,-280.2,-60.1,716.8,1791.1,127,211,169,2,5,2
2851,299,28,-194.0,54.3,-1159.7,456.8,223,139,41,2,0,4
2655,185,14,223.2,-0.1,27.6,-841.2,35,38,0,1,4,2
2255,328,7,378.6,-65.6,1920.5,882.3,35,76,39,2,1,4
3137,137,33,68.8,-64.9,-676.5,-1790.2,98,140,83,1,5,1
2902,83,22,-237.9,38.5,3623.4,-439.2,48,143,190,2,4,2
2339,353,19,121.0,23.9,-483.8,596.7,178,140,147,2,6,2
2411,168,7,-111.0,31.6,162.2,-272.5,103,161,238,2,6,2
2069,211,21,-9.5,59.0,715.6,24.9,12,9,213,1,6,6
1781,182,17,-60.3,55.7,-1706.0,-1715.7,208,12,236,3,3,6
2430,144,25,137.9,-89.9,-1230.6,-362.4,166,16,178,0,4,2
2924,33,8,57.4,59.8,1066.3,-789.8,21,87,45,3,5,2
1314,285,27,-317.0,-15.7,1949.3,114.4,202,153,216,2,1,4
2235,309,5,22.8,-0.5,1366.5,-1061.3,173,47,210,2,5,5
3327,114,35,303.5,64.6,373.5,-700.1,202,47,125,3,5,7
3150,221,30,-15.3,1.2,-802.6,1090.9,193,96,87,3,4,1
2133,291,42,22.4,-60.8,-663.8,1434.3,202,85,47,2,1,4
2236,181,13,188.1,18.1,468.9,80.8,207,5,132,1,5,6
3074,213,21,-121.0,4.4,1080.4,-134.1,231,171,188,3,1,1
2090,46,18,272.8,65.6,139.5,964.6,139,34,133,3,1,2
2496,201,18,-97.4,-6.0,-1079.5,-740.9,82,223,223,0,3,2
2180,159,11,-319.0,34.6,-1721.4,575.6,65,145,177,2,5,2
2707,274,41,-6.8,-33.1,2263.2,-1065.8,73,246,67,2,3,6
2610,234,33,358.1,71.9,-950.5,1078.1,219,84,190,0,6,2
3258,311,6,114.8,-15.1,-1074.7,-317.1,191,169,36,1,0,1
2114,89,24,232.0,-16.3,445.5,68.2,252,164,172,0,2,2
